Phrase,Form,Role,Type,KeyLexemes
может,Vpraes,возможность,Control,обеспокоить
кроме этого,PARENTH,противопоставление,Modal,беспокоить
кроме этого,PARENTH,противопоставление,Modal,обеспокоить
зачем,ADV,причина,Circum,беспокоить
зачем,ADV,причина,Circum,побеспокоить
имея разные вкусы,Vger,сопутствующая ситуация,Circum,беспокоить
имея разные вкусы,Vger,сопутствующая ситуация,Circum,побеспокоить
больше всего,ADV,степень,Circum,беспокоить
больше всего,ADV,степень,Circum,обеспокоить
же,PART,,Modal,беспокоить
же,PART,,Modal,обеспокоить
сильно,ADV,степень,Circum,беспокоить
сильно,ADV,степень,Circum,обеспокоить
или нет,PART,отрицание,Circum,беспокоить
или нет,PART,отрицание,Circum,обеспокоить
последнее время,Sacc,время,Circum,беспокоить
последнее время,Sacc,время,Circum,обеспокоить
всего более,ADV,степень,Circum,беспокоить
всего более,ADV,степень,Circum,обеспокоить
мало,ADV,степень,Circum,беспокоить
мало,ADV,степень,Circum,обеспокоить
так,ADV,степень,Circum,беспокоить
так,ADV,степень,Circum,обеспокоить
